country,iso3,indicator_abbr,dimension,year,mean,SII,SII_se,RII,CI,CI_se,CI_Wagstaff,n_sub,gdp_pc_usd,gini,urban_pct,health_exp_pct
Honduras,HND,smoked,education,2005,2.3040854178154295,3.5183771762028044,2.422130995511123,7.4569602617238875,0.19687977021010739,0.13553651866559321,0.20152303302763652,4,3426.43483328923,45.7,58.7850728104829,7.70976162
Honduras,HND,smoked,education,2011,6.696741724603092,-3.2930631230453655,1.7784812943826969,0.605303217321015,-0.06681479062508466,0.03608459688586813,-0.07161035087099743,4,3426.43483328923,45.7,58.7850728104829,7.70976162
Honduras,HND,smoked,residence,2005,2.2676408662522562,6.200000000000003,9.082200025527249e-16,-6.4487078337017145,0.3397961720761413,1.3984863089716743e-16,0.3476803129361962,2,3426.43483328923,45.7,58.7850728104829,7.70976162
Honduras,HND,smoked,residence,2011,6.710903178940814,1.1514107834242508,2.435390341235497e-15,1.1876729688847327,0.02135871976768852,1.1125058084698213e-16,0.02289519407467023,2,3426.43483328923,45.7,58.7850728104829,7.70976162
Honduras,HND,smoked,wealth,2005,2.26315736702261,4.971315665505365,0.5563678143709145,-21.342944987523495,0.3501960128416754,0.03919239963337257,0.358305019281967,5,3426.43483328923,45.7,58.7850728104829,7.70976162
Honduras,HND,smoked,wealth,2011,6.693970944309927,-2.3163841614413223,1.4622497442216784,0.705000500619089,-0.05527917018736941,0.03489574562492746,-0.059245014225582156,5,3426.43483328923,45.7,58.7850728104829,7.70976162
India,IND,smoked,education,2006,26.51221929720624,-11.45461259342716,7.332632067408847,0.6447028179723763,-0.06352799117085191,0.04066723177567386,-0.08644701277315453,4,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,education,2015,7.338469028686411,-6.93637122276826,1.633416400906208,0.35813890109446644,-0.13602327245576898,0.0320315388260773,-0.14679583968656792,4,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,education,2020,8.107491505140965,-12.317650102370099,2.553032591838081,0.13659212216848168,-0.2156079741901897,0.04468824658867546,-0.23463063281404706,4,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,residence,2006,26.52287365558166,-11.177191846377626,1.498234646150898e-14,0.6519252468667118,-0.047391763456822854,1.0094696843067539e-16,-0.06449866212061374,2,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,residence,2015,7.369379003257394,-2.3112178001546266,1.0665322823948416e-14,0.7288890229098682,-0.03571493835831202,5.815877879086633e-17,-0.03855629809452314,2,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,residence,2020,8.105796455953934,-5.891050544456368,6.5701691086626735e-15,0.4669370153767649,-0.0801066415053308,8.327192662944842e-17,-0.0871726816446422,2,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,wealth,2006,26.523397120560436,-26.408804198632005,1.0613118222292695,0.3352563011993056,-0.15910060743992657,0.006393903878790473,-0.21653233982656891,5,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,wealth,2015,7.357702192514967,-7.6609042005306245,0.6763651294303441,0.31526648631631676,-0.1664811231037142,0.014698268432589647,-0.1797031453706704,5,2694.73780859961,25.5,35.3788972368389,3.33944035
India,IND,smoked,wealth,2020,8.122502223902641,-13.022058572304285,1.0398975714893692,0.11012194401899816,-0.25644682473415614,0.02047897640580335,-0.27911820733201637,5,2694.73780859961,25.5,35.3788972368389,3.33944035
Indonesia,IDN,smoked,education,2003,1.920388020215039,-0.39141533351906205,0.5809964036490071,0.8150294734173021,-0.027379186265023316,0.04064022891438445,-0.027915267722170838,4,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,education,2007,2.618529215054417,-0.8136048150742484,0.3675339895181459,0.7310692127108688,-0.04316804109962359,0.019500526632920772,-0.04432880377721409,4,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,education,2012,2.353662814918762,-2.409539106549947,2.3767264516608795,0.3228649986193129,-0.1409514974861622,0.13903204623901763,-0.14434898589078596,4,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,education,2017,2.2106230353832514,-2.556541495985143,1.6938741061927631,0.2672343571573406,-0.15528432416598464,0.10288590903588947,-0.1587946758492708,4,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,residence,2003,1.9120713631584303,1.7999999999999994,6.563043135907027e-16,2.7785307099122276,0.116837467692756,8.203803919883784e-17,0.11911503211096677,2,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,residence,2007,2.617844657242742,1.9999999999999991,0.0,2.236212630827335,0.0929201429058981,8.448029518370925e-17,0.09541803894034369,2,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,residence,2012,2.356528603065319,0.6000000000000008,1.2843345943542642e-15,1.2917537831011356,0.03176618538642456,0.0,0.032532830850810775,2,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,residence,2017,2.1573498297297844,0.9999999999999956,4.5051088827442765e-15,1.6033729162436605,0.05789138056553833,3.868773443254242e-17,0.059167837813870666,2,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,wealth,2003,1.9013465386833088,0.6883042614789062,0.43643186884671364,1.4420156262876347,0.05791649565174929,0.036723010228115825,0.05903903224786622,5,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,wealth,2007,2.6242529259765917,0.9483574664806086,0.23568877176646927,1.4410812750948296,0.057815492129187046,0.014368487422332826,0.05937360571440513,5,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,wealth,2012,2.3441238379231715,-1.9033356047602106,0.8069979682121805,0.4224951658093693,-0.12978878223626888,0.055029330244992375,-0.13290422178063505,5,4925.43048751861,34.9,58.7509635387997,2.70239949
Indonesia,IDN,smoked,wealth,2017,2.186733028391803,-1.1048474445478538,0.4474271852600919,0.5966468716040696,-0.08076141195281582,0.032705738159594426,-0.0825669302879517,5,4925.43048751861,34.9,58.7509635387997,2.70239949
Jordan,JOR,any_tobacco,education,2023,23.65914651493599,1.699370253563138,3.5659749260201483,1.0745028663607843,0.009150393062576903,0.019201273033913877,0.01198623364142394,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,any_tobacco,residence,2023,23.613645157619214,5.524458485714124,1.4925206947778286e-14,1.2649440454450376,0.009908294176555138,1.1660317927951786e-16,0.01297128812731067,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,any_tobacco,wealth,2023,23.635645592670574,13.898741576123973,2.527745957877888,1.8329445450751702,0.09405542753621765,0.01710573762876257,0.12316666364325374,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,education,2002,9.88996003996004,-3.6992290336171934,4.269116851020268,0.6848924110725678,-0.04920072309729716,0.056780381573635255,-0.05460071166222501,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,education,2007,13.053194814746714,-0.20254271028497073,2.661945190025719,0.9846027419380503,-0.0019762880714449616,0.025973635479085905,-0.002272985266375437,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,education,2009,11.976743495894747,-3.129267110636437,3.4995254816800614,0.7689107172186647,-0.033498449257198984,0.03746202309603804,-0.03805636213383752,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,education,2012,17.932355532064832,-7.959749232858243,2.38244720915338,0.6367439927877299,-0.05627153798770026,0.016842737718437476,-0.06856726344776015,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,education,2017,21.66365202835762,-3.1864790051701943,3.271729643339211,0.8629877513540163,-0.019096731247197987,0.01960764267110023,-0.024377867671481153,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,education,2023,23.65914651493599,1.699370253563138,3.5659749260201483,1.0745028663607843,0.009150393062576903,0.019201273033913877,0.01198623364142394,4,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,residence,2002,9.857392607392608,5.400000000000011,9.936135508676837e-15,1.7544646907342423,0.04398342795819307,1.1185038986603287e-16,0.048793161447646526,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,residence,2007,13.08275101140125,13.599999999999989,9.631355794278355e-15,3.1646568478235384,0.06612318604204043,7.176142621632632e-17,0.07607602266693236,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,residence,2009,12.010950638045305,13.600000000000017,1.7868100246926734e-14,3.6098884723079188,0.07614995946254856,4.5429896844806305e-17,0.08654481439990963,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,residence,2012,17.93157152924595,19.99999999999995,5.0598785969748615e-14,3.521568383548484,0.07752042883049177,1.3683565917299805e-16,0.09445828350194009,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,residence,2017,21.62890901929893,10.377598237551268,4.5024707581748427e-14,1.6312365489248308,0.022247781716616708,2.9312960665200794e-17,0.02838774022183159,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,residence,2023,23.61066348014112,5.588283089855413,1.4925206947778286e-14,1.2684542166673014,0.010024031386191533,5.830158963975893e-17,0.013122291464837624,2,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,wealth,2002,9.870596070596072,7.215445086153874,3.1802203129777418,2.152098162999641,0.11685479072309649,0.05150395778626122,0.12965223958945282,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,wealth,2007,13.084360058845164,16.457726208910863,5.612063704812303,4.389503971170623,0.20120825033132825,0.06861175744811246,0.23149832466004258,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,wealth,2009,11.974000791452315,18.18602644087093,3.8719443939660816,7.312427940968912,0.24291219683997636,0.05171786821263904,0.27595505762391687,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,wealth,2012,17.960803311899937,15.43718268003016,6.022610009949075,2.50721179393725,0.13745139947555546,0.053624822062504254,0.16754357066430542,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,wealth,2017,21.634281776114992,7.676519281537508,0.7139798124835701,1.4313615269274418,0.05676513558425582,0.00527962731201969,0.07243618366653906,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Jordan,JOR,smoked,wealth,2023,23.635645592670574,13.898741576123973,2.527745957877888,1.8329445450751702,0.09405542753621765,0.01710573762876257,0.12316666364325374,5,4618.09592498567,33.7,92.9501393764286,7.66000605
Kenya,KEN,any_tobacco,education,2022,6.252436775553214,-9.873105117287631,2.8569936618995304,0.1176052794051422,-0.23207714948878574,0.0671564758284801,-0.24755539398198076,4,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,any_tobacco,residence,2022,6.284766859852477,-3.324899769000617,2.298621975024431e-15,0.5816271436961553,-0.06363059561048444,3.5915968359756733e-17,-0.0678978149852408,2,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,any_tobacco,wealth,2022,6.263293598524763,-7.868348255141364,1.8282957822385566,0.22840174968083846,-0.20036847775891728,0.04655778200219061,-0.21375668662896807,5,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,education,2003,7.077286493034524,2.8804769552937906,3.160739332822033,1.5109903175262764,0.0536801693629461,0.05890310019185947,0.057768620111295216,4,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,education,2008,5.373480899068455,0.591099212800343,1.088633774151598,1.1164055160915225,0.014739743272560201,0.027146343627855285,0.015576757353652985,4,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,education,2014,7.855843669202233,-6.076629192934114,2.913822613026669,0.4422121429901228,-0.10843770293133997,0.05199728679732734,-0.11768266947070233,4,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,education,2022,5.366902660695469,-7.050770265191943,2.7756202840343964,0.20709153492409274,-0.19308154942699307,0.07600886781236829,-0.20403173398700475,4,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,residence,2003,7.084251968503936,1.872550607287445,8.945191175223304e-15,1.304579979620014,0.024910113721869943,6.393183466233651e-17,0.02680935605601114,2,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,residence,2008,5.429465048709622,0.41470363594814,0.0,1.079412991948803,0.0073028718260187055,5.469009293578146e-17,0.007722142874395426,2,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,residence,2014,7.854966837786188,1.2461703064218659,5.412001061275637e-15,1.1723161911069147,0.019332940784870502,4.278874762336635e-17,0.020980990642041918,2,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,residence,2022,5.400586143308746,-2.654486615623888,3.621820423966489e-15,0.605446803473635,-0.05911752510565285,9.455299824934846e-17,-0.06249248562492158,2,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,wealth,2003,7.091303971618931,3.711744801624563,1.2947525866632912,1.7089663481271853,0.08338217537811399,0.02908585935249993,0.0897463627652712,5,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,wealth,2008,5.390951811346548,0.14913021797708972,0.7591190059912293,1.0280510478876463,0.004404678009917025,0.022421175519996207,0.004655662533602448,5,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,wealth,2014,7.843275752238918,-4.16972222876367,0.9619969754917925,0.5800095944705764,-0.08470040282854331,0.0195412372512292,-0.09190908587508859,5,2132.43452097647,38.5,31.8937831721599,4.35172892
Kenya,KEN,smoked,wealth,2022,5.363790832455216,-5.700071421019185,1.0688240077653501,0.3060394700078821,-0.16949506544242615,0.03178212723345705,-0.17910170634830755,5,2132.43452097647,38.5,31.8937831721599,4.35172892
Kyrgyz Republic,KGZ,smoked,education,2012,12.215673892554193,5.22221471978262,2.2500968357058078,1.5437220620028078,0.05235473492350741,0.022558096460366165,0.059640185492141874,3,2420.18542283831,27.5,34.7219977865937,4.50344467
Kyrgyz Republic,KGZ,smoked,residence,2012,12.194200169475565,7.8349057333992524,7.390001444997324e-15,1.94661652057101,0.07424749910318684,4.609418956937889e-17,0.0845587640525948,2,2420.18542283831,27.5,34.7219977865937,4.50344467
