country,iso3,year,indicator_abbr,dimension,subgroup,order,estimate,population,data_source
HND,HND,2022,smoked,sex,SEX_BTSX,1,12.4,,GHO
LUX,LUX,2024,smoked,sex,SEX_FMLE,1,23.5,,GHO
NRU,NRU,2020,smoked,sex,SEX_MLE,1,30.3,,GHO
PHL,PHL,2022,smoked,sex,SEX_BTSX,1,20.9,,GHO
NPL,NPL,2025,smoked,sex,SEX_FMLE,1,5.3,,GHO
COK,COK,2024,smoked,sex,SEX_BTSX,1,28.4,,GHO
GAB,GAB,2010,smoked,sex,SEX_BTSX,1,11.6,,GHO
SRB,SRB,2015,smoked,sex,SEX_BTSX,1,40.1,,GHO
UKR,UKR,2023,smoked,sex,SEX_FMLE,1,10.1,,GHO
HND,HND,2024,smoked,sex,SEX_FMLE,1,1.6,,GHO
FJI,FJI,2015,smoked,sex,SEX_BTSX,1,28.7,,GHO
CYP,CYP,2025,smoked,sex,SEX_MLE,1,45.8,,GHO
CAN,CAN,2023,smoked,sex,SEX_MLE,1,14.2,,GHO
KAZ,KAZ,2023,smoked,sex,SEX_FMLE,1,6.9,,GHO
TUR,TUR,2024,smoked,sex,SEX_FMLE,1,20.2,,GHO
IRL,IRL,2010,smoked,sex,SEX_BTSX,1,27.0,,GHO
GNB,GNB,2024,smoked,sex,SEX_FMLE,1,0.4,,GHO
GTM,GTM,2020,smoked,sex,SEX_BTSX,1,11.7,,GHO
FJI,FJI,2025,smoked,sex,SEX_MLE,1,38.5,,GHO
BLZ,BLZ,2024,smoked,sex,SEX_BTSX,1,8.5,,GHO
JOR,JOR,2030,smoked,sex,SEX_FMLE,1,13.6,,GHO
SVK,SVK,2022,smoked,sex,SEX_BTSX,1,29.6,,GHO
NLD,NLD,2022,smoked,sex,SEX_MLE,1,24.0,,GHO
SWZ,SWZ,2010,smoked,sex,SEX_FMLE,1,2.5,,GHO
ZWE,ZWE,2023,smoked,sex,SEX_MLE,1,19.4,,GHO
HND,HND,2023,smoked,sex,SEX_FMLE,1,1.7,,GHO
MHL,MHL,2030,smoked,sex,SEX_MLE,1,43.9,,GHO
SAU,SAU,2030,smoked,sex,SEX_MLE,1,23.9,,GHO
CAN,CAN,2024,smoked,sex,SEX_BTSX,1,11.2,,GHO
GAB,GAB,2022,smoked,sex,SEX_FMLE,1,2.6,,GHO
CAN,CAN,2025,smoked,sex,SEX_MLE,1,13.2,,GHO
GAB,GAB,2030,smoked,sex,SEX_FMLE,1,2.1,,GHO
NOR,NOR,2024,smoked,sex,SEX_BTSX,1,12.9,,GHO
TUN,TUN,2025,smoked,sex,SEX_MLE,1,45.1,,GHO
TZA,TZA,2022,smoked,sex,SEX_FMLE,1,1.3,,GHO
BOL,BOL,2023,smoked,sex,SEX_BTSX,1,12.8,,GHO
NOR,NOR,2020,smoked,sex,SEX_MLE,1,17.3,,GHO
NPL,NPL,2030,smoked,sex,SEX_FMLE,1,3.6,,GHO
DEU,DEU,2023,smoked,sex,SEX_FMLE,1,19.9,,GHO
PRK,PRK,2025,smoked,sex,SEX_BTSX,1,15.2,,GHO
MOZ,MOZ,2025,smoked,sex,SEX_MLE,1,14.5,,GHO
NLD,NLD,2023,smoked,sex,SEX_MLE,1,23.4,,GHO
BDI,BDI,2030,smoked,sex,SEX_FMLE,1,1.8,,GHO
MAR,MAR,2024,smoked,sex,SEX_MLE,1,23.8,,GHO
